Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2016-03-18,0.999983,0.999998,0.999982,0.999998,0.999998,326978.0,Tether
2016-03-19,0.999998,0.999998,0.999998,0.999998,0.999998,119685.0,Tether
2016-03-20,0.999998,0.999998,0.999998,0.999998,0.999998,82858.0,Tether
2016-03-21,0.999998,0.999999,0.999998,0.999999,0.999999,188116.0,Tether
2016-03-22,0.999999,0.999999,0.999999,0.999999,0.999999,118249.0,Tether
2016-03-23,0.999999,0.999999,0.999999,0.999999,0.999999,82970.0,Tether
2016-03-24,0.999999,0.999999,0.999972,0.999972,0.999972,108214.0,Tether
2016-03-25,0.999973,1.0,0.999973,1.0,1.0,32068.0,Tether
2016-03-26,1.0,1.0,1.0,1.0,1.0,43612.0,Tether
2016-03-27,1.0,1.0,1.0,1.0,1.0,111330.0,Tether
2016-03-28,1.0,1.0,1.0,1.0,1.0,112757.0,Tether
2016-03-29,1.0,1.0,1.0,1.0,1.0,1042210.0,Tether
2016-03-30,1.0,1.0,1.0,1.0,1.0,204201.0,Tether
2016-03-31,1.0,1.0,1.0,1.0,1.0,147747.0,Tether
2016-04-01,1.0,1.0,1.0,1.0,1.0,50033.0,Tether
2016-04-02,1.0,1.0,1.0,1.0,1.0,103658.0,Tether
2016-04-03,1.0,1.0,1.0,1.0,1.0,99267.0,Tether
2016-04-04,1.0,1.0,1.0,1.0,1.0,486533.0,Tether
2016-04-05,1.0,1.0,1.0,1.0,1.0,115498.0,Tether
2016-04-06,1.0,1.00002,1.0,1.00002,1.00002,82048.0,Tether
2016-04-07,1.00002,1.00003,1.00002,1.00002,1.00002,44185.0,Tether
2016-04-08,1.00002,1.00002,1.0,1.0,1.0,441626.0,Tether
2016-04-09,1.0,1.0,1.0,1.0,1.0,117876.0,Tether
2016-04-10,1.0,1.0,1.0,1.0,1.0,173469.0,Tether
2016-04-11,1.0,1.00081,0.999793,0.999861,0.999861,38497.0,Tether
2016-04-12,0.999846,1.00006,0.999516,1.0,1.0,430502.0,Tether
2016-04-13,1.0,1.0,1.0,1.0,1.0,173569.0,Tether
2016-04-14,1.0,1.0,1.0,1.0,1.0,349208.0,Tether
2016-04-15,1.0,1.0,1.0,1.0,1.0,79197.0,Tether
2016-04-16,1.0,1.0,1.0,1.0,1.0,66411.0,Tether
2016-04-17,1.0,1.0,1.0,1.0,1.0,121920.0,Tether
2016-04-18,1.0,1.0,1.0,1.0,1.0,160979.0,Tether
2016-04-19,1.0,1.0,1.0,1.0,1.0,116370.0,Tether
2016-04-20,1.0,1.0,1.0,1.0,1.0,103226.0,Tether
2016-04-21,1.0,1.0,1.0,1.0,1.0,278840.0,Tether
2016-04-22,1.0,1.0,1.0,1.0,1.0,143608.0,Tether
2016-04-23,1.0,1.0,1.0,1.0,1.0,512936.0,Tether
2016-04-24,1.0,1.0,1.0,1.0,1.0,68016.0,Tether
2016-04-25,1.0,1.0,1.0,1.0,1.0,298864.0,Tether
2016-04-26,1.0,1.0,1.0,1.0,1.0,515109.0,Tether
2016-04-27,1.0,1.0,1.0,1.0,1.0,481952.0,Tether
2016-04-28,1.0,1.0,1.0,1.0,1.0,544476.0,Tether
2016-04-29,1.0,1.0,1.0,1.0,1.0,146006.0,Tether
2016-04-30,1.0,1.0,1.0,1.0,1.0,454278.0,Tether
2016-05-01,1.0,1.0,1.0,1.0,1.0,49006.0,Tether
2016-05-02,1.0,1.0,1.0,1.0,1.0,193440.0,Tether
2016-05-03,1.0,1.0,1.0,1.0,1.0,408428.0,Tether
2016-05-04,1.0,1.0,1.0,1.0,1.0,215176.0,Tether
2016-05-05,1.0,1.0,1.0,1.0,1.0,753773.0,Tether
2016-05-06,1.0,1.0,1.0,1.0,1.0,2747610.0,Tether
2016-05-07,1.0,1.0,1.0,1.0,1.0,73083.0,Tether
2016-05-08,1.0,1.0,1.0,1.0,1.0,80059.0,Tether
2016-05-09,1.0,1.0,1.0,1.0,1.0,324466.0,Tether
2016-05-10,1.0,1.0,1.0,1.0,1.0,6102180.0,Tether
2016-05-11,1.0,1.0,1.0,1.0,1.0,270254.0,Tether
2016-05-12,1.0,1.0,1.0,1.0,1.0,168513.0,Tether
2016-05-13,1.0,1.00326,1.0,1.00326,1.00326,62149.0,Tether
2016-05-14,1.00331,1.0065,1.00309,1.00358,1.00358,61320.0,Tether
2016-05-15,1.00352,1.00352,1.0,1.0,1.0,219450.0,Tether
2016-05-16,1.0,1.0,1.0,1.0,1.0,567230.0,Tether
2016-05-17,1.0,1.0,1.0,1.0,1.0,178706.0,Tether
2016-05-18,1.0,1.0,1.0,1.0,1.0,229307.0,Tether
2016-05-19,1.0,1.0,1.0,1.0,1.0,329926.0,Tether
2016-05-20,1.0,1.0,1.0,1.0,1.0,261677.0,Tether
2016-05-21,1.0,1.0,1.0,1.0,1.0,167338.0,Tether
2016-05-22,1.0,1.0,1.0,1.0,1.0,104196.0,Tether
2016-05-23,1.0,1.0,1.0,1.0,1.0,190548.0,Tether
2016-05-24,1.0,1.00002,1.0,1.00002,1.00002,153609.0,Tether
2016-05-25,1.00002,1.00002,1.0,1.0,1.0,209870.0,Tether
2016-05-26,1.0,1.0,0.999999,1.0,1.0,5707670.0,Tether
2016-05-27,1.0,1.0,1.0,1.0,1.0,707718.0,Tether
2016-05-28,1.0,1.0,1.0,1.0,1.0,613257.0,Tether
2016-05-29,1.0,1.0,1.0,1.0,1.0,705697.0,Tether
2016-05-30,1.0,1.0,1.0,1.0,1.0,422532.0,Tether
2016-05-31,1.0,1.0,1.0,1.0,1.0,2580270.0,Tether
2016-06-01,1.0,1.0,1.0,1.0,1.0,1030660.0,Tether
2016-06-02,1.0,1.0,1.0,1.0,1.0,223416.0,Tether
2016-06-03,1.0,1.0,1.0,1.0,1.0,2459760.0,Tether
2016-06-04,1.0,1.0,1.0,1.0,1.0,438311.0,Tether
2016-06-05,1.0,1.0,1.0,1.0,1.0,139775.0,Tether
2016-06-06,1.0,1.0,1.0,1.0,1.0,792495.0,Tether
2016-06-07,1.0,1.0,1.0,1.0,1.0,295779.0,Tether
2016-06-08,1.0,1.0,1.0,1.0,1.0,155586.0,Tether
2016-06-09,1.0,1.0,1.0,1.0,1.0,149115.0,Tether
2016-06-10,1.0,1.0,1.0,1.0,1.0,206234.0,Tether
2016-06-11,1.0,1.0,1.0,1.0,1.0,134797.0,Tether
2016-06-12,1.0,1.0,1.0,1.0,1.0,1030810.0,Tether
2016-06-13,1.0,1.0,1.0,1.0,1.0,1673420.0,Tether
2016-06-14,1.0,1.0,1.0,1.0,1.0,2479570.0,Tether
2016-06-15,1.0,1.0,1.0,1.0,1.0,1738970.0,Tether
2016-06-16,1.0,1.0,0.999999,0.999999,0.999999,3547690.0,Tether
2016-06-17,0.999999,0.999999,0.999999,0.999999,0.999999,6105470.0,Tether
2016-06-18,0.999999,0.999999,0.999999,0.999999,0.999999,3759450.0,Tether
2016-06-19,0.999999,0.999999,0.999999,0.999999,0.999999,1377470.0,Tether
2016-06-20,0.999999,1.0,0.999999,1.0,1.0,2855850.0,Tether
2016-06-21,1.0,1.0,1.0,1.0,1.0,3652970.0,Tether
2016-06-22,1.0,1.0,1.0,1.0,1.0,3966370.0,Tether
2016-06-23,1.0,1.0,1.0,1.0,1.0,2838010.0,Tether
2016-06-24,1.0,1.00001,1.0,1.00001,1.00001,3067830.0,Tether
2016-06-25,1.00001,1.00001,1.00001,1.00001,1.00001,1223680.0,Tether
2016-06-26,1.00001,1.00001,1.00001,1.00001,1.00001,798039.0,Tether
2016-06-27,1.00001,1.00001,0.999932,0.999951,0.999951,576205.0,Tether
2016-06-28,0.999953,1.0,0.999953,1.0,1.0,2242170.0,Tether
2016-06-29,1.0,1.0,1.0,1.0,1.0,808151.0,Tether
2016-06-30,1.0,1.0,1.0,1.0,1.0,1322550.0,Tether
2016-07-01,1.0,1.0,1.0,1.0,1.0,985150.0,Tether
2016-07-02,1.0,1.0,1.0,1.0,1.0,561867.0,Tether
2016-07-03,1.0,1.0,1.0,1.0,1.0,1161670.0,Tether
2016-07-04,1.0,1.0,1.0,1.0,1.0,1703670.0,Tether
2016-07-05,1.0,1.0,1.0,1.0,1.0,1405480.0,Tether
2016-07-06,1.0,1.0,1.0,1.0,1.0,567909.0,Tether
2016-07-07,1.0,1.0,0.999989,0.999991,0.999991,1875330.0,Tether
2016-07-08,0.999991,0.999999,0.999989,0.999999,0.999999,1277010.0,Tether
2016-07-09,0.999999,0.999999,0.999999,0.999999,0.999999,878486.0,Tether
2016-07-10,0.999999,0.999999,0.999999,0.999999,0.999999,284642.0,Tether
2016-07-11,0.999999,1.00019,0.999999,1.00016,1.00016,651964.0,Tether
2016-07-12,1.00016,1.00016,1.0,1.0,1.0,888710.0,Tether
2016-07-13,1.0,1.0,1.0,1.0,1.0,368649.0,Tether
2016-07-14,1.0,1.0,1.0,1.0,1.0,640118.0,Tether
