,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
0,3/18/16,-2317.198049,-1134.678616,5609.455912,-2317.198049,-2317.198049,4453.599644,4453.599644,4453.599644,-17.14474846,-17.14474846,-17.14474846,4470.744393,4470.744393,4470.744393,0,0,0,2136.401595,Bitcoin,BTC
1,3/19/16,-2279.411363,-1384.736905,5548.355477,-2279.411363,-2279.411363,4276.356658,4276.356658,4276.356658,1.855941016,1.855941016,1.855941016,4274.500717,4274.500717,4274.500717,0,0,0,1996.945295,Bitcoin,BTC
2,3/20/16,-2241.624677,-1493.229262,5550.529522,-2241.624677,-2241.624677,4045.379628,4045.379628,4045.379628,-34.68859821,-34.68859821,-34.68859821,4080.068226,4080.068226,4080.068226,0,0,0,1803.754951,Bitcoin,BTC
3,3/21/16,-2203.837991,-1881.207592,5128.169723,-2203.837991,-2203.837991,3903.68825,3903.68825,3903.68825,15.17419617,15.17419617,15.17419617,3888.514054,3888.514054,3888.514054,0,0,0,1699.850259,Bitcoin,BTC
4,3/22/16,-2166.051305,-2066.037088,5023.403858,-2166.051305,-2166.051305,3698.252356,3698.252356,3698.252356,-2.606803846,-2.606803846,-2.606803846,3700.85916,3700.85916,3700.85916,0,0,0,1532.201051,Bitcoin,BTC
5,3/23/16,-2128.264619,-2301.842779,4832.957112,-2128.264619,-2128.264619,3546.939848,3546.939848,3546.939848,28.86619023,28.86619023,28.86619023,3518.073657,3518.073657,3518.073657,0,0,0,1418.675228,Bitcoin,BTC
6,3/24/16,-2090.477933,-1895.156813,4676.789253,-2090.477933,-2090.477933,3349.615772,3349.615772,3349.615772,8.543823105,8.543823105,8.543823105,3341.071949,3341.071949,3341.071949,0,0,0,1259.137838,Bitcoin,BTC
7,3/25/16,-2052.691247,-2260.976481,4716.778383,-2052.691247,-2052.691247,3153.562897,3153.562897,3153.562897,-17.14474846,-17.14474846,-17.14474846,3170.707646,3170.707646,3170.707646,0,0,0,1100.87165,Bitcoin,BTC
8,3/26/16,-2014.904561,-2524.690477,4462.965361,-2014.904561,-2014.904561,3009.624218,3009.624218,3009.624218,1.855941016,1.855941016,1.855941016,3007.768277,3007.768277,3007.768277,0,0,0,994.7196563,Bitcoin,BTC
9,3/27/16,-1977.117876,-2761.790956,4258.28336,-1977.117876,-1977.117876,2818.281229,2818.281229,2818.281229,-34.68859821,-34.68859821,-34.68859821,2852.969827,2852.969827,2852.969827,0,0,0,841.1633536,Bitcoin,BTC
10,3/28/16,-1939.33119,-2649.893269,4053.423382,-1939.33119,-1939.33119,2722.125387,2722.125387,2722.125387,15.17419617,15.17419617,15.17419617,2706.951191,2706.951191,2706.951191,0,0,0,782.7941972,Bitcoin,BTC
11,3/29/16,-1901.544504,-2890.393163,4172.418797,-1901.544504,-1901.544504,2567.661835,2567.661835,2567.661835,-2.606803846,-2.606803846,-2.606803846,2570.268639,2570.268639,2570.268639,0,0,0,666.1173315,Bitcoin,BTC
12,3/30/16,-1863.757818,-2959.260315,3982.062414,-1863.757818,-1863.757818,2472.256647,2472.256647,2472.256647,28.86619023,28.86619023,28.86619023,2443.390457,2443.390457,2443.390457,0,0,0,608.4988296,Bitcoin,BTC
13,3/31/16,-1825.971132,-3238.398532,3738.053728,-1825.971132,-1825.971132,2335.235719,2335.235719,2335.235719,8.543823105,8.543823105,8.543823105,2326.691896,2326.691896,2326.691896,0,0,0,509.2645878,Bitcoin,BTC
14,4/1/16,-1788.184446,-2907.462356,4061.977737,-1788.184446,-1788.184446,2203.305886,2203.305886,2203.305886,-17.14474846,-17.14474846,-17.14474846,2220.450634,2220.450634,2220.450634,0,0,0,415.1214399,Bitcoin,BTC
15,4/2/16,-1750.39776,-3125.656306,3844.20261,-1750.39776,-1750.39776,2126.698862,2126.698862,2126.698862,1.855941016,1.855941016,1.855941016,2124.842921,2124.842921,2124.842921,0,0,0,376.3011018,Bitcoin,BTC
