ID,Date,Open,High,Low,Close,Volume,Currency
1,10/1/2015,236.004,238.445,235.616,237.549,20488800,Bitcoin
2,10/2/2015,237.264,238.541,236.603,237.293,19677900,Bitcoin
3,10/3/2015,237.202,239.315,236.944,238.73,16482700,Bitcoin
4,10/4/2015,238.531,238.968,237.94,238.259,12999000,Bitcoin
5,10/5/2015,238.147,240.383,237.035,240.383,23335900,Bitcoin
6,10/6/2015,240.364,246.935,240.136,246.063,27535100,Bitcoin
7,10/7/2015,246.17,246.681,242.585,242.969,22999200,Bitcoin
8,10/8/2015,243.075,244.251,242.179,242.304,18515300,Bitcoin
9,10/9/2015,242.498,244.228,242.122,243.931,17353100,Bitcoin
10,10/10/2015,243.74,245.319,243.074,244.941,15912700,Bitcoin
11,10/11/2015,244.742,247.243,244.152,247.05,16827300,Bitcoin
12,10/12/2015,246.875,247.454,245.179,245.308,17388300,Bitcoin
13,10/13/2015,245.2,250.236,243.757,249.508,28198500,Bitcoin
14,10/14/2015,249.493,254.275,248.903,251.989,27462600,Bitcoin
15,10/15/2015,252.107,255.962,252.046,254.32,25223500,Bitcoin
16,10/16/2015,254.296,266.135,253.926,262.869,35901500,Bitcoin
17,10/17/2015,262.747,273.578,262.367,270.64,43199600,Bitcoin
18,10/18/2015,270.907,271.668,260.777,261.643,22434300,Bitcoin
19,10/19/2015,261.861,264.82,260.951,263.437,25258800,Bitcoin
20,10/20/2015,263.572,270.835,263.227,269.463,30889800,Bitcoin
21,10/21/2015,269.306,270.77,263.839,266.272,25637300,Bitcoin
22,10/22/2015,266.496,276.51,266.135,274.023,37808600,Bitcoin
23,10/23/2015,273.649,278.684,273.543,276.496,29442500,Bitcoin
24,10/24/2015,276.504,281.706,276.504,281.654,25942400,Bitcoin
25,10/25/2015,281.445,294.059,281.445,283.68,45717100,Bitcoin
26,10/26/2015,283.628,285.3,280.51,285.3,32108800,Bitcoin
27,10/27/2015,285.181,296.212,285.008,293.788,46331800,Bitcoin
28,10/28/2015,293.703,306.331,293.703,304.618,50808100,Bitcoin
29,10/29/2015,304.324,318.17,301.823,313.855,64495900,Bitcoin
30,10/30/2015,313.943,334.169,313.94,328.015,78305000,Bitcoin
31,10/31/2015,328.512,332.777,309.251,314.166,48598100,Bitcoin
