Date,Open,High,Low,Close,Adj Close,Volume
3/18/2016,3.30715,3.30715,3.15282,3.16981,3.16981,1502010
3/19/2016,3.17078,3.19468,3.15961,3.17825,3.17825,617579
3/20/2016,3.18153,3.21036,3.17824,3.20555,3.20555,926158
3/21/2016,3.20519,3.20676,3.18803,3.20091,3.20091,507480
3/22/2016,3.20004,3.24006,3.19804,3.23472,3.23472,1265140
3/23/2016,3.23384,3.25418,3.2216,3.2428,3.2428,1703040
3/24/2016,3.24502,3.25109,3.21639,3.2247,3.2247,1394180
3/25/2016,3.22784,3.237,3.2143,3.22907,3.22907,1200290
3/26/2016,3.22772,3.23897,3.2126,3.23057,3.23057,1117430
3/27/2016,3.23182,3.32495,3.22509,3.3036,3.3036,2089890
3/28/2016,3.30291,3.30291,3.25682,3.26406,3.26406,1427140
3/29/2016,3.26176,3.283,3.19629,3.22633,3.22633,1764730
3/30/2016,3.22665,3.27702,3.20301,3.21941,3.21941,1450290
3/31/2016,3.22548,3.26648,3.22184,3.25707,3.25707,1704440
4/1/2016,3.24575,3.25515,3.23113,3.23995,3.23995,1316230
4/2/2016,3.2459,3.27574,3.24486,3.26211,3.26211,1174830
4/3/2016,3.26145,3.2747,3.2468,3.26268,3.26268,1281200
4/4/2016,3.2613,3.26842,3.22203,3.25059,3.25059,1188610
4/5/2016,3.24604,3.27108,3.24144,3.25165,3.25165,863788
4/6/2016,3.25852,3.2636,3.24275,3.25593,3.25593,1088910
4/7/2016,3.25701,3.26089,3.22778,3.24532,3.24532,1150280
4/8/2016,3.24191,3.25398,3.2144,3.22027,3.22027,1352320
4/9/2016,3.22402,3.22615,3.19817,3.2162,3.2162,1224580
4/10/2016,3.22186,3.25236,3.21168,3.22699,3.22699,1417490
4/11/2016,3.22745,3.24379,3.21385,3.24177,3.24177,1061060
4/12/2016,3.24014,3.27679,3.23145,3.25732,3.25732,1305310
4/13/2016,3.26295,3.27058,3.23603,3.23886,3.23886,1295720
4/14/2016,3.24574,3.25582,3.23376,3.23961,3.23961,1190770
4/15/2016,3.24321,3.28476,3.24153,3.27883,3.27883,1404400
4/16/2016,3.27985,3.29406,3.26827,3.27382,3.27382,1155850
4/17/2016,3.28005,3.28375,3.25147,3.25777,3.25777,1211900
4/18/2016,3.26037,3.27102,3.23918,3.24039,3.24039,1317730
4/19/2016,3.2489,3.29295,3.2425,3.28517,3.28517,1333410
4/20/2016,3.29175,3.29473,3.26662,3.27838,3.27838,1638920
4/21/2016,3.28093,3.35176,3.27347,3.3464,3.3464,1688230
4/22/2016,3.34679,3.34809,3.30686,3.31927,3.31927,1569850
4/23/2016,3.32078,3.33972,3.30526,3.33447,3.33447,1383790
4/24/2016,3.34636,3.64535,3.34636,3.63183,3.63183,4502460
4/25/2016,3.62286,3.87424,3.55076,3.81172,3.81172,6605750
4/26/2016,3.79559,4.11448,3.78638,4.0458,4.0458,6717450
4/27/2016,4.04861,4.22993,3.86893,3.88971,3.88971,9435190
4/28/2016,3.87886,3.87944,3.68631,3.7885,3.7885,3952590
4/29/2016,3.79207,3.84685,3.7235,3.8136,3.8136,2467080
4/30/2016,3.81348,3.81505,3.64385,3.65975,3.65975,2502180
5/1/2016,3.6575,3.72045,3.64311,3.7052,3.7052,1911590
5/2/2016,3.70871,3.78136,3.63868,3.68031,3.68031,2667410
5/3/2016,3.68211,3.75876,3.66239,3.74091,3.74091,2363200
5/4/2016,3.74184,3.77976,3.73112,3.74679,3.74679,1716110
5/5/2016,3.74181,3.76402,3.70688,3.71385,3.71385,1702120
5/6/2016,3.71613,3.82211,3.706,3.82211,3.82211,1899060
5/7/2016,3.81952,4.00344,3.81952,3.95345,3.95345,3278610
5/8/2016,3.93641,3.94411,3.8862,3.93814,3.93814,1783970
5/9/2016,3.93763,4.08338,3.89863,4.05643,4.05643,3120940
5/10/2016,4.05797,4.11563,3.79838,3.81915,3.81915,3688200
5/11/2016,3.82033,3.91377,3.81444,3.88227,3.88227,2458140
5/12/2016,3.88134,3.89672,3.79635,3.8568,3.8568,1798920
5/13/2016,3.85527,3.96167,3.82879,3.92568,3.92568,2624100
5/14/2016,3.92728,4.04518,3.92024,4.01012,4.01012,2444920
5/15/2016,4.01409,4.10201,3.96654,4.06312,4.06312,2096570
5/16/2016,4.06308,4.16277,3.97969,4.00653,4.00653,3632510
5/17/2016,4.00364,4.03497,3.9744,3.98313,3.98313,2663640
5/18/2016,3.9798,4.04284,3.9751,4.00322,4.00322,2377740
5/19/2016,4.00244,4.03438,3.83339,3.83339,3.83339,3380010
5/20/2016,3.82493,3.91887,3.81789,3.88101,3.88101,3638250
5/21/2016,3.88352,3.97342,3.87858,3.95449,3.95449,1938010
5/22/2016,3.95659,3.98667,3.90465,3.9297,3.9297,1849720
5/23/2016,3.92293,3.97308,3.89946,3.96819,3.96819,1868020
5/24/2016,3.96388,3.9846,3.93887,3.95141,3.95141,1742000
