Date,Open,High,Low,Close,Adj Close,Volume
3/18/2016,0.008284,0.008356,0.008013,0.008119,0.008119,229313
3/19/2016,0.008124,0.00816,0.007894,0.008016,0.008016,164010
3/20/2016,0.008015,0.008046,0.007872,0.00796,0.00796,115984
3/21/2016,0.007956,0.008079,0.00788,0.008047,0.008047,79784
3/22/2016,0.008028,0.008215,0.008025,0.00811,0.00811,604214
3/23/2016,0.008109,0.008335,0.008106,0.008332,0.008332,1022850
3/24/2016,0.008335,0.008345,0.008229,0.00823,0.00823,965196
3/25/2016,0.008234,0.008272,0.008191,0.008191,0.008191,753671
3/26/2016,0.00819,0.008197,0.008053,0.008066,0.008066,309664
3/27/2016,0.008062,0.008081,0.008005,0.008029,0.008029,418222
3/28/2016,0.008025,0.008032,0.007467,0.007564,0.007564,2114600
3/29/2016,0.007573,0.007605,0.007397,0.007566,0.007566,1116900
3/30/2016,0.007568,0.007595,0.007327,0.007332,0.007332,1210630
3/31/2016,0.007332,0.007392,0.007274,0.007391,0.007391,1036210
4/1/2016,0.007391,0.00748,0.007391,0.007418,0.007418,827273
4/2/2016,0.007418,0.007505,0.00741,0.007501,0.007501,390399
4/3/2016,0.007504,0.007533,0.007492,0.007503,0.007503,250112
4/4/2016,0.007502,0.007515,0.007483,0.007491,0.007491,300359
4/5/2016,0.007488,0.007516,0.007451,0.007474,0.007474,464037
4/6/2016,0.007467,0.007468,0.007296,0.007296,0.007296,796790
4/7/2016,0.007308,0.007309,0.006875,0.006875,0.006875,1450030
4/8/2016,0.006875,0.006875,0.006657,0.006671,0.006671,859428
4/9/2016,0.006674,0.006679,0.006287,0.006288,0.006288,1032700
4/10/2016,0.006289,0.006295,0.005924,0.005937,0.005937,774554
4/11/2016,0.005937,0.006071,0.005883,0.006048,0.006048,1871520
4/12/2016,0.006048,0.006082,0.005873,0.005885,0.005885,1085670
4/13/2016,0.005884,0.005884,0.005685,0.005695,0.005695,1384420
4/14/2016,0.005697,0.006352,0.005693,0.006289,0.006289,192592
4/15/2016,0.006303,0.006473,0.006229,0.006424,0.006424,156069
4/16/2016,0.006421,0.00651,0.006276,0.00651,0.00651,70487
4/17/2016,0.006499,0.006605,0.006488,0.006499,0.006499,54782
4/18/2016,0.006503,0.007194,0.006503,0.006987,0.006987,1066190
4/19/2016,0.006987,0.007157,0.006982,0.007118,0.007118,426257
4/20/2016,0.007117,0.007259,0.007019,0.007244,0.007244,1301350
4/21/2016,0.007265,0.007536,0.007265,0.007433,0.007433,1011580
4/22/2016,0.007439,0.007439,0.007275,0.007284,0.007284,955674
4/23/2016,0.007282,0.007365,0.007282,0.007346,0.007346,345650
4/24/2016,0.007344,0.00735,0.007223,0.007251,0.007251,472274
4/25/2016,0.00725,0.007308,0.007234,0.007283,0.007283,605219
4/26/2016,0.007279,0.007293,0.007095,0.007095,0.007095,884879
4/27/2016,0.007094,0.007094,0.006725,0.006725,0.006725,797081
4/28/2016,0.00672,0.006724,0.006666,0.006686,0.006686,752872
4/29/2016,0.006689,0.006759,0.006671,0.006759,0.006759,538253
4/30/2016,0.006761,0.006849,0.006761,0.006812,0.006812,406123
5/1/2016,0.006812,0.006819,0.006789,0.006791,0.006791,241733
5/2/2016,0.006791,0.006803,0.006712,0.006714,0.006714,585826
5/3/2016,0.006716,0.006717,0.006555,0.00656,0.00656,329125
5/4/2016,0.006558,0.00656,0.006307,0.006323,0.006323,563556
5/5/2016,0.006323,0.006324,0.006187,0.006193,0.006193,509188
5/6/2016,0.006198,0.0064,0.006188,0.006399,0.006399,680334
5/7/2016,0.006395,0.006496,0.006395,0.00649,0.00649,351537
5/8/2016,0.00649,0.006492,0.006403,0.006404,0.006404,389914
5/9/2016,0.006402,0.006407,0.006386,0.006399,0.006399,351209
5/10/2016,0.006399,0.006399,0.00627,0.006272,0.006272,404295
5/11/2016,0.006272,0.006277,0.006186,0.006189,0.006189,476708
5/12/2016,0.006188,0.006188,0.006153,0.006167,0.006167,362896
5/13/2016,0.006167,0.00619,0.006105,0.006109,0.006109,478095
5/14/2016,0.006111,0.006116,0.006033,0.006073,0.006073,274107
5/15/2016,0.006072,0.006075,0.006006,0.006061,0.006061,304621
5/16/2016,0.006061,0.00607,0.006018,0.006022,0.006022,389621
5/17/2016,0.006022,0.00606,0.006022,0.006023,0.006023,319996
5/18/2016,0.006022,0.006052,0.006016,0.006028,0.006028,701256
5/19/2016,0.006025,0.006042,0.005988,0.006032,0.006032,797005
5/20/2016,0.006028,0.006084,0.00602,0.006084,0.006084,549413
5/21/2016,0.00609,0.006098,0.005988,0.00599,0.00599,217884
5/22/2016,0.005989,0.005992,0.005933,0.005936,0.005936,273758
5/23/2016,0.005935,0.005936,0.005905,0.005909,0.005909,507430
5/24/2016,0.005911,0.005964,0.005898,0.005962,0.005962,471659
5/25/2016,0.005962,0.005965,0.005754,0.005756,0.005756,517124
5/26/2016,0.005757,0.005757,0.005641,0.005669,0.005669,678744
5/27/2016,0.00567,0.005706,0.00565,0.005679,0.005679,1073760
5/28/2016,0.005676,0.005738,0.005659,0.005682,0.005682,889921
5/29/2016,0.005682,0.005729,0.005614,0.005662,0.005662,829452
5/30/2016,0.005664,0.005771,0.005645,0.005748,0.005748,476095
5/31/2016,0.005746,0.005758,0.005689,0.005706,0.005706,847636
6/1/2016,0.005701,0.005812,0.00569,0.005809,0.005809,1018470
6/2/2016,0.005809,0.005815,0.005757,0.005766,0.005766,611429
6/3/2016,0.005766,0.00587,0.005741,0.005827,0.005827,437813
6/4/2016,0.005829,0.005882,0.005755,0.00578,0.00578,617159
6/5/2016,0.005779,0.00582,0.005779,0.005796,0.005796,544201
6/6/2016,0.005795,0.0058,0.005751,0.005769,0.005769,690096
6/7/2016,0.005764,0.005787,0.005753,0.00578,0.00578,783409
6/8/2016,0.00578,0.005785,0.005753,0.00577,0.00577,754945
6/9/2016,0.005769,0.005789,0.00575,0.005788,0.005788,520793
6/10/2016,0.005785,0.005788,0.005732,0.005736,0.005736,526917
6/11/2016,0.005737,0.005766,0.005722,0.005766,0.005766,398757
6/12/2016,0.005766,0.005885,0.005747,0.005852,0.005852,1133540
6/13/2016,0.005852,0.005856,0.005765,0.005824,0.005824,1537720
6/14/2016,0.005828,0.007577,0.005798,0.007105,0.007105,9904250
6/15/2016,0.007093,0.007166,0.006871,0.006887,0.006887,3269290
6/16/2016,0.006889,0.006918,0.006624,0.006676,0.006676,3072370
6/17/2016,0.006681,0.00677,0.006637,0.006693,0.006693,2143830
6/18/2016,0.006693,0.006705,0.006529,0.006604,0.006604,1190870
6/19/2016,0.006585,0.00698,0.006561,0.006813,0.006813,2413110
6/20/2016,0.006818,0.006893,0.006626,0.006626,0.006626,1710410
6/21/2016,0.00663,0.006635,0.005976,0.006172,0.006172,3258040
6/22/2016,0.006179,0.00679,0.006084,0.006495,0.006495,5052140
6/23/2016,0.006519,0.006638,0.006253,0.006381,0.006381,3207640
6/24/2016,0.00638,0.006561,0.006348,0.006434,0.006434,2408230
6/25/2016,0.006427,0.006536,0.006383,0.006414,0.006414,1175110
6/26/2016,0.006409,0.006479,0.006354,0.0064,0.0064,1236360
6/27/2016,0.006402,0.006429,0.006364,0.006398,0.006398,1136160
6/28/2016,0.006407,0.006829,0.006407,0.006773,0.006773,3149120
6/29/2016,0.006775,0.006936,0.00667,0.006777,0.006777,2063960
6/30/2016,0.006778,0.006956,0.00664,0.006657,0.006657,1046580
7/1/2016,0.006651,0.006837,0.006633,0.006787,0.006787,993538
7/2/2016,0.006788,0.006809,0.006691,0.006699,0.006699,503769
7/3/2016,0.006714,0.006734,0.006582,0.006607,0.006607,536311
7/4/2016,0.006621,0.008447,0.006599,0.007028,0.007028,875970
7/5/2016,0.007029,0.007064,0.006659,0.006699,0.006699,598865
7/6/2016,0.006716,0.006743,0.006687,0.006691,0.006691,600195
7/7/2016,0.006689,0.006699,0.006495,0.006598,0.006598,789693
7/8/2016,0.006609,0.006715,0.006563,0.006715,0.006715,604076
7/9/2016,0.006717,0.006718,0.006624,0.006679,0.006679,577447
7/10/2016,0.006672,0.006676,0.006621,0.006674,0.006674,571047
7/11/2016,0.006671,0.00669,0.00653,0.006534,0.006534,722627
7/12/2016,0.006534,0.006593,0.00635,0.00635,0.00635,977958
7/13/2016,0.00635,0.006437,0.00635,0.006411,0.006411,942245
7/14/2016,0.006408,0.006425,0.006377,0.006385,0.006385,682894
7/15/2016,0.006388,0.006452,0.006388,0.006442,0.006442,753167
7/16/2016,0.006442,0.006572,0.00644,0.006572,0.006572,659904
7/17/2016,0.006571,0.006591,0.006516,0.006538,0.006538,529265
7/18/2016,0.006538,0.00654,0.006481,0.006482,0.006482,442793
7/19/2016,0.006479,0.006485,0.006397,0.006405,0.006405,550843
7/20/2016,0.006404,0.006422,0.00638,0.006395,0.006395,790117
7/21/2016,0.00639,0.006564,0.006374,0.006416,0.006416,811193
7/22/2016,0.006417,0.006423,0.006303,0.006303,0.006303,780192
7/23/2016,0.006303,0.006335,0.00627,0.006317,0.006317,356569
7/24/2016,0.006328,0.006333,0.006228,0.006286,0.006286,315687
7/25/2016,0.006293,0.006297,0.006225,0.006246,0.006246,881632
7/26/2016,0.006246,0.00625,0.005983,0.005998,0.005998,1547830
7/27/2016,0.005996,0.006008,0.005954,0.005969,0.005969,1370090
7/28/2016,0.005973,0.005986,0.005947,0.005974,0.005974,1264650
7/29/2016,0.005974,0.006112,0.005969,0.006111,0.006111,779667
7/30/2016,0.006112,0.006164,0.006107,0.006121,0.006121,442025
7/31/2016,0.006118,0.006122,0.005944,0.005945,0.005945,648205
8/1/2016,0.005942,0.005942,0.005904,0.005906,0.005906,958956
8/2/2016,0.005911,0.005933,0.005686,0.00569,0.00569,1553690
8/3/2016,0.005688,0.005701,0.00563,0.005646,0.005646,1570660
8/4/2016,0.005646,0.00582,0.005644,0.005816,0.005816,1007960
8/5/2016,0.005821,0.00645,0.005813,0.006447,0.006447,697388
8/6/2016,0.006448,0.00656,0.006239,0.006337,0.006337,2164530
8/7/2016,0.006337,0.006337,0.006156,0.006178,0.006178,1303100
8/8/2016,0.00616,0.00618,0.006021,0.006027,0.006027,722628
8/9/2016,0.006027,0.006181,0.006003,0.006163,0.006163,1105300
8/10/2016,0.006147,0.006221,0.006109,0.006194,0.006194,865808
8/11/2016,0.006196,0.006217,0.006162,0.006189,0.006189,407711
8/12/2016,0.006188,0.006189,0.006101,0.006123,0.006123,646843
8/13/2016,0.006119,0.006141,0.00608,0.006092,0.006092,602600
8/14/2016,0.006092,0.006093,0.005968,0.005994,0.005994,499048
8/15/2016,0.005993,0.006062,0.005969,0.006045,0.006045,488337
8/16/2016,0.006045,0.006188,0.00603,0.00614,0.00614,1249860
8/17/2016,0.006144,0.006158,0.006099,0.006109,0.006109,1352830
8/18/2016,0.0061,0.006123,0.006044,0.006122,0.006122,1080170
8/19/2016,0.00612,0.006199,0.006093,0.006119,0.006119,1356390
