Date,Open,High,Low,Close,Adj Close,Volume
3/18/2016,0.999983,0.999998,0.999982,0.999998,0.999998,326978
3/19/2016,0.999998,0.999998,0.999998,0.999998,0.999998,119685
3/20/2016,0.999998,0.999998,0.999998,0.999998,0.999998,82858
3/21/2016,0.999998,0.999999,0.999998,0.999999,0.999999,188116
3/22/2016,0.999999,0.999999,0.999999,0.999999,0.999999,118249
3/23/2016,0.999999,0.999999,0.999999,0.999999,0.999999,82970
3/24/2016,0.999999,0.999999,0.999972,0.999972,0.999972,108214
3/25/2016,0.999973,1,0.999973,1,1,32068
3/26/2016,1,1,1,1,1,43612
3/27/2016,1,1,1,1,1,111330
3/28/2016,1,1,1,1,1,112757
3/29/2016,1,1,1,1,1,1042210
3/30/2016,1,1,1,1,1,204201
3/31/2016,1,1,1,1,1,147747
4/1/2016,1,1,1,1,1,50033
4/2/2016,1,1,1,1,1,103658
4/3/2016,1,1,1,1,1,99267
4/4/2016,1,1,1,1,1,486533
4/5/2016,1,1,1,1,1,115498
4/6/2016,1,1.00002,1,1.00002,1.00002,82048
4/7/2016,1.00002,1.00003,1.00002,1.00002,1.00002,44185
4/8/2016,1.00002,1.00002,1,1,1,441626
4/9/2016,1,1,1,1,1,117876
4/10/2016,1,1,1,1,1,173469
4/11/2016,1,1.00081,0.999793,0.999861,0.999861,38497
4/12/2016,0.999846,1.00006,0.999516,1,1,430502
4/13/2016,1,1,1,1,1,173569
4/14/2016,1,1,1,1,1,349208
4/15/2016,1,1,1,1,1,79197
4/16/2016,1,1,1,1,1,66411
4/17/2016,1,1,1,1,1,121920
4/18/2016,1,1,1,1,1,160979
4/19/2016,1,1,1,1,1,116370
4/20/2016,1,1,1,1,1,103226
4/21/2016,1,1,1,1,1,278840
4/22/2016,1,1,1,1,1,143608
4/23/2016,1,1,1,1,1,512936
4/24/2016,1,1,1,1,1,68016
4/25/2016,1,1,1,1,1,298864
4/26/2016,1,1,1,1,1,515109
4/27/2016,1,1,1,1,1,481952
4/28/2016,1,1,1,1,1,544476
4/29/2016,1,1,1,1,1,146006
