,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
0,2016-03-18,-2317.19804914403,-1134.67861576187,5609.455912041394,-2317.19804914403,-2317.19804914403,4453.599644135996,4453.599644135996,4453.599644135996,-17.14474846441305,-17.14474846441305,-17.14474846441305,4470.744392600409,4470.744392600409,4470.744392600409,0.0,0.0,0.0,2136.401594991966,Bitcoin,BTC
1,2016-03-19,-2279.411363186914,-1384.7369048463809,5548.355477033159,-2279.411363186914,-2279.411363186914,4276.356657899209,4276.356657899209,4276.356657899209,1.8559410159963887,1.8559410159963887,1.8559410159963887,4274.500716883213,4274.500716883213,4274.500716883213,0.0,0.0,0.0,1996.9452947122945,Bitcoin,BTC
2,2016-03-20,-2241.6246772297986,-1493.2292624013978,5550.5295221028855,-2241.6246772297986,-2241.6246772297986,4045.379627977538,4045.379627977538,4045.379627977538,-34.68859821048236,-34.68859821048236,-34.68859821048236,4080.0682261880193,4080.0682261880193,4080.0682261880193,0.0,0.0,0.0,1803.7549507477393,Bitcoin,BTC
3,2016-03-21,-2203.8379912726828,-1881.2075924397848,5128.169722815347,-2203.8379912726828,-2203.8379912726828,3903.6882498905975,3903.6882498905975,3903.6882498905975,15.174196169621375,15.174196169621375,15.174196169621375,3888.514053720976,3888.514053720976,3888.514053720976,0.0,0.0,0.0,1699.8502586179147,Bitcoin,BTC
4,2016-03-22,-2166.051305315567,-2066.0370876678303,5023.403858324988,-2166.051305315567,-2166.051305315567,3698.252355936806,3698.252355936806,3698.252355936806,-2.606803845663785,-2.606803845663785,-2.606803845663785,3700.85915978247,3700.85915978247,3700.85915978247,0.0,0.0,0.0,1532.2010506212391,Bitcoin,BTC
5,2016-03-23,-2128.2646193584515,-2301.842778900874,4832.957112266377,-2128.2646193584515,-2128.2646193584515,3546.9398475002777,3546.9398475002777,3546.9398475002777,28.866190229858546,28.866190229858546,28.866190229858546,3518.073657270419,3518.073657270419,3518.073657270419,0.0,0.0,0.0,1418.6752281418262,Bitcoin,BTC
6,2016-03-24,-2090.477933401335,-1895.1568131526,4676.78925332096,-2090.477933401335,-2090.477933401335,3349.6157718754034,3349.6157718754034,3349.6157718754034,8.543823104983716,8.543823104983716,8.543823104983716,3341.071948770419,3341.071948770419,3341.071948770419,0.0,0.0,0.0,1259.1378384740683,Bitcoin,BTC
7,2016-03-25,-2052.6912474442192,-2260.976480959395,4716.778382582454,-2052.6912474442192,-2052.6912474442192,3153.562897316856,3153.562897316856,3153.562897316856,-17.144748464295144,-17.144748464295144,-17.144748464295144,3170.7076457811518,3170.7076457811518,3170.7076457811518,0.0,0.0,0.0,1100.8716498726367,Bitcoin,BTC
8,2016-03-26,-2014.9045614871038,-2524.690476614912,4462.965361058796,-2014.9045614871038,-2014.9045614871038,3009.624217806756,3009.624217806756,3009.624217806756,1.8559410161051517,1.8559410161051517,1.8559410161051517,3007.768276790651,3007.768276790651,3007.768276790651,0.0,0.0,0.0,994.7196563196521,Bitcoin,BTC
9,2016-03-27,-1977.117875529988,-2761.790956054088,4258.28336041391,-1977.117875529988,-1977.117875529988,2818.281229142243,2818.281229142243,2818.281229142243,-34.688598210456696,-34.688598210456696,-34.688598210456696,2852.969827352699,2852.969827352699,2852.969827352699,0.0,0.0,0.0,841.1633536122549,Bitcoin,BTC
