,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-17,87.36439178369716,-6105.723829593854,4129.117051691844,87.36439178369716,87.36439178369716,-1049.4791784855456,-1049.4791784855456,-1049.4791784855456,23.85648438885959,23.85648438885959,23.85648438885959,-1073.3356628744052,-1073.3356628744052,-1073.3356628744052,0.0,0.0,0.0,-962.1147867018485
1,2014-09-18,87.95141274266427,-5863.16761649291,4270.601484564718,87.95141274266427,87.95141274266427,-1071.8172662452175,-1071.8172662452175,-1071.8172662452175,11.591737013866851,11.591737013866851,11.591737013866851,-1083.4090032590846,-1083.4090032590846,-1083.4090032590846,0.0,0.0,0.0,-983.8658535025533
2,2014-09-19,88.5384337016314,-6236.9846771743305,4191.564335984504,88.5384337016314,88.5384337016314,-1098.6043474705068,-1098.6043474705068,-1098.6043474705068,-3.88095970550959,-3.88095970550959,-3.88095970550959,-1094.7233877649971,-1094.7233877649971,-1094.7233877649971,0.0,0.0,0.0,-1010.0659137688754
3,2014-09-20,89.12545466059854,-5932.9163587694775,4003.6789128521327,89.12545466059854,89.12545466059854,-1119.6767809993623,-1119.6767809993623,-1119.6767809993623,-12.555161555594337,-12.555161555594337,-12.555161555594337,-1107.121619443768,-1107.121619443768,-1107.121619443768,0.0,0.0,0.0,-1030.5513263387638
4,2014-09-21,89.71247561956567,-5980.475714553222,4143.350425991727,89.71247561956567,89.71247561956567,-1158.1579368650807,-1158.1579368650807,-1158.1579368650807,-37.78078319086323,-37.78078319086323,-37.78078319086323,-1120.3771536742174,-1120.3771536742174,-1120.3771536742174,0.0,0.0,0.0,-1068.4454612455152
5,2014-09-22,90.29949657853278,-6333.148105945397,4518.448405346161,90.29949657853278,90.29949657853278,-1119.2209292131254,-1119.2209292131254,-1119.2209292131254,14.979410154047962,14.979410154047962,14.979410154047962,-1134.2003393671732,-1134.2003393671732,-1134.2003393671732,0.0,0.0,0.0,-1028.9214326345925
6,2014-09-23,90.88651753749993,-6252.697904736331,3900.1452143997567,90.88651753749993,90.88651753749993,-1144.4574621165684,-1144.4574621165684,-1144.4574621165684,3.7892728950477865,3.7892728950477865,3.7892728950477865,-1148.2467350116162,-1148.2467350116162,-1148.2467350116162,0.0,0.0,0.0,-1053.5709445790685
7,2014-09-24,91.47353849646704,-6122.765905050385,4048.2777616602593,91.47353849646704,91.47353849646704,-1138.2707636403707,-1138.2707636403707,-1138.2707636403707,23.85648438892645,23.85648438892645,23.85648438892645,-1162.127248029297,-1162.127248029297,-1162.127248029297,0.0,0.0,0.0,-1046.7972251439037
8,2014-09-25,92.06055945543419,-6711.610512616569,4379.436399126133,92.06055945543419,92.06055945543419,-1163.8280537504602,-1163.8280537504602,-1163.8280537504602,11.59173701388746,11.59173701388746,11.59173701388746,-1175.419790764348,-1175.419790764348,-1175.419790764348,0.0,0.0,0.0,-1071.767494295026
9,2014-09-26,92.6475804144013,-6017.047731648974,3858.937320501724,92.6475804144013,92.6475804144013,-1191.5630601247487,-1191.5630601247487,-1191.5630601247487,-3.8809597055043943,-3.8809597055043943,-3.8809597055043943,-1187.6821004192443,-1187.6821004192443,-1187.6821004192443,0.0,0.0,0.0,-1098.9154797103474
